"VCI","Tem"
"c",-0.00515789473684211,6.5743347167969
"c",NA,NA
"c",NA,NA
"c",NA,NA
"c",NA,NA
"c",NA,NA
"c",0.023578947368421,3.24912414550784
"c",0.0292631578947368,-3.35731608072914
"c",0.0342894736842105,-3.44097747802732
"c",0.0395321637426901,-0.280818684895811
"c",0.0428421052631579,-1.27990112304685
"c",0.0482105263157895,-0.964735412597634
"c",0.0532932330827068,0.586646379743326
"c",0.0585473684210526,1.57709045410159
"c",0.0632105263157895,1.65353800455731
"c",0.0691983805668016,0.396938382662282
"c",0.074,-0.28045367072608
"c",0.0793431578947369,1.23339965820315
"c",0.0838093883357041,1.14795136322849
"c",0.0887626962142198,0.781326347484946
"c",0.0938519179304193,0.616996739274387
"c",0.0989956140350877,0.75237363179527
"c",0.10397432605905,0.885992878239352
"c",0.108981717451524,0.809144511975763
"c",0.113846224256293,0.315276834239153
"c",0.118931760435572,0.841629133553363
"c",0.124028130671506,0.616031901041689
"c",0.128850012354831,0.893713135338748
"c",0.133988728627376,1.28241663550294
"c",0.138948466546396,1.7551359946966
"c",0.143935064098435,1.79553654459438
"c",0.149014282919194,2.17632514358012
"c",0.153904395008139,2.22465046361552
"c",0.158878857485269,2.26730662858013
"c",0.163917438664359,2.39191990747214
"c",0.168865023831254,2.39048174378502
"c",0.173826209169332,2.49542800594213
"c",0.17890320872604,2.77409550687919
"c",0.183809561216474,2.90117911723125
"c",0.188822421052632,3.15536373901369
"c",0.193937493434184,3.27429000032165
"c",0.198758979924037,3.22522359631727
"c",0.203810979060555,3.32734329059562
"c",0.208806342780027,3.25101713522889
"c",0.213859689827818,3.04105862575454
"c",0.218764495985727,3.56960035421083
"c",0.223767684946632,3.41843778170074
"c",0.228869229147635,3.5232718005518
"c",0.233809842402617,3.86011730991517
"c",0.238969200779727,3.4089733886719
"c",0.243823439878234,3.72070515021525
"c",0.248790242028429,3.47165626470192
"c",0.253787406015038,3.35140582493376
"c",0.258974975509841,3.79036870398096
"c",0.263762030075188,3.03002995082313
"c",0.268705465587045,3.20549439650318
"c",0.273755690596354,3.63645130612848
"c",0.278846028113763,3.37304393065398
"c",0.283916774117923,3.63360060116233
"c",0.288915074571675,3.36463664499325
"c",0.293759253625393,3.45151828185214
"c",0.298829338196978,3.38913290193768
"c",0.303925151479149,3.18071231196214
"c",0.308775096277279,3.29730179949507
"c",0.313844834307992,3.29108977141206
"c",0.318794787449393,3.37246445875904
"c",0.323652480483505,3.00402214378834
"c",0.328901934322987,3.23710204556459
"c",0.333776253429783,3.38157491819556
"c",0.338866887498466,3.27782194408784
"c",0.343718529901396,2.98010571704876
"c",0.348905540166205,2.99880322908103
"c",0.353739598997494,3.27528018043157
"c",0.358825294193715,3.11024198414948
"c",0.363853658536585,3.10800915229614
"c",0.368892383900929,2.90353759765627
"c",0.373991884473088,3.0961713241612
"c",0.378884210526316,3.14668518819929
"c",0.383772727272727,3.30919175581501
"c",0.388882753759399,3.23504716328214
"c",0.393964017185822,3.00814956353637
"c",0.398852553219277,3.02010066408676
"c",0.403773428953446,3.34132384549115
"c",0.408930496096701,3.12332134338089
"c",0.413982456140351,3.22664065444681
"c",0.418967147891327,3.05648397688734
"c",0.423920667522465,3.08215101288588
"c",0.428875128998968,2.78493136237652
"c",0.433918769526556,3.23864045164903
"c",0.438910327042551,3.16374000600295
"c",0.443832831506684,3.35530342433766
"c",0.448783038381981,3.16280104458074
"c",0.453889712347695,3.42610778080253
"c",0.458717881660673,3.4656681289831
"c",0.463871619346875,3.20618262707808
"c",0.468789574318205,3.11415560487126
"c",0.473826389621348,3.04550777580554
"c",0.478925755453272,3.22658935082732
"c",0.48393125254998,3.55211608650151
"c",0.488844709712425,3.4597839355469
"c",0.493798074953922,3.6332931934164
"c",0.498770004657662,3.76961734737972
"c",0.503897256954541,3.81091917821279
"c",0.508828947368421,3.8099435072679
"c",0.513805317792752,3.83097054768601
"c",0.518778457772338,3.6670774001484
"c",0.523870575014048,3.96231348438197
"c",0.528856307435255,3.79765587458537
"c",0.53382752293578,3.8926014191514
"c",0.53888016651799,3.97791853795171
"c",0.543803522751101,3.9036565286705
"c",0.548988315190253,3.65095480062932
